tower_id,tower_name,region,network_type,measurement_date,measurement_hour,avg_latency_ms,avg_download_speed_mbps,avg_upload_speed_mbps,packet_loss_pct,signal_strength_dbm,active_users,data_volume_gb,peak_concurrent_users,call_drop_rate_pct,handover_success_rate_pct,availability_pct
TWR_SEL_005,4G Tower Kajang,Selangor,4G,2024-11-01,22,27.1,485.3,82.6,4.0,-81.2,864,1751.0,1110,2.0,98.1,97.0
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-01,8,16.4,932.0,136.8,0.8,-70.4,2707,5403.7,3512,0.7,97.8,98.7
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-01,12,19.7,813.6,130.3,1.4,-68.6,3863,9286.9,4429,0.9,97.1,99.1
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-01,14,12.3,826.3,127.1,1.1,-68.3,2729,4571.8,3312,0.8,95.4,97.1
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-01,18,21.8,839.5,125.5,0.6,-70.8,5211,11957.4,6741,0.9,96.3,99.2
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-01,20,15.8,781.5,117.3,0.7,-72.9,3957,5963.5,4468,1.4,98.4,97.5
TWR_PNG_001,5G Tower Georgetown,Penang,5G,2024-11-01,22,16.1,849.1,140.6,0.5,-72.1,3033,6023.6,3778,0.9,97.1,98.4
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-01,8,29.5,474.6,80.3,1.8,-76.8,871,1894.3,979,2.9,98.8,99.1
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-01,12,38.5,457.9,79.0,4.1,-81.4,1494,2968.2,1879,2.7,99.5,98.7
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-01,14,26.4,430.5,74.4,2.7,-78.5,829,1567.0,1005,2.2,95.3,97.3
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-01,18,36.4,402.0,65.9,2.6,-79.7,1478,2750.4,1727,2.3,97.8,97.8
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-01,20,29.4,425.2,72.7,3.4,-81.5,1167,2641.5,1482,2.9,98.5,98.3
TWR_PNG_002,4G Tower Bayan Lepas,Penang,4G,2024-11-01,22,21.9,459.9,79.6,2.6,-81.3,1080,1861.8,1255,2.7,97.0,99.6
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-01,8,27.0,440.3,78.4,2.7,-83.2,714,1175.5,897,1.7,98.4,98.7
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-01,12,32.5,381.6,80.1,4.7,-75.1,1104,1672.8,1382,3.8,96.7,98.5
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-01,14,31.8,426.4,78.2,3.4,-78.3,884,1895.3,1109,2.5,99.4,97.4
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-01,18,24.9,442.0,78.3,4.4,-77.9,1536,2324.3,1925,2.6,96.3,98.2
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-01,20,32.4,345.5,72.2,2.7,-77.6,1505,2856.9,1858,2.9,96.3,97.7
TWR_PNG_003,4G Tower Butterworth,Penang,4G,2024-11-01,22,25.9,461.6,89.7,2.3,-74.1,616,1423.4,688,2.6,99.0,99.4
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-01,8,14.8,801.7,136.4,1.1,-74.2,2292,5416.4,2723,0.7,95.3,98.2
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-01,12,22.0,798.1,121.2,0.6,-73.5,4561,10274.9,5864,1.4,96.5,98.4
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-01,14,18.6,905.0,132.2,1.0,-74.4,2333,4237.2,2798,0.5,98.6,99.8
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-01,18,19.6,875.2,107.6,1.2,-76.5,4065,6903.2,5172,1.2,95.8,98.4
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-01,20,21.3,775.5,110.5,1.5,-69.8,4396,7270.7,5007,1.3,96.0,97.6
TWR_JHR_001,5G Tower Johor Bahru Central,Johor,5G,2024-11-01,22,15.1,863.7,131.4,1.3,-72.2,2653,4330.1,3423,0.6,98.4,99.4
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-01,8,24.1,411.6,80.4,3.2,-80.0,791,1588.4,870,1.5,99.4,97.8
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-01,12,30.1,423.6,82.4,2.9,-79.2,1231,2870.2,1406,3.2,95.8,97.2
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-01,14,25.8,422.8,80.5,3.1,-77.4,1169,1978.9,1421,2.1,98.9,99.2
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-01,18,35.7,369.2,74.2,2.6,-82.1,1608,3108.2,1854,3.2,96.6,98.0
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-01,20,31.3,371.8,74.0,4.3,-82.7,1657,3898.2,2124,2.1,95.9,97.7
TWR_JHR_002,4G Tower Iskandar Puteri,Johor,4G,2024-11-01,22,26.6,469.4,90.9,3.6,-78.0,886,1804.1,1006,2.2,95.4,97.6
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-01,8,22.6,424.3,85.3,2.4,-78.1,1112,2369.6,1343,1.7,98.8,97.7
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-01,12,24.9,372.5,77.8,2.8,-81.9,1405,3163.9,1809,2.2,97.3,98.8
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-01,14,25.8,451.8,79.0,2.4,-75.2,835,1697.7,993,2.2,97.5,99.0
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-01,18,32.9,440.8,79.3,3.9,-77.8,1807,2787.4,2294,2.5,96.2,98.9
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-01,20,25.9,411.4,80.5,2.8,-79.3,1463,3523.7,1713,3.0,96.1,99.8
TWR_JHR_003,4G Tower Skudai,Johor,4G,2024-11-01,22,30.0,473.7,79.8,1.9,-75.3,883,1815.8,993,3.4,97.7,97.2
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-01,8,26.4,463.1,77.8,2.0,-81.0,874,2025.5,1009,1.9,96.8,99.7
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-01,12,32.4,377.4,79.7,4.8,-80.3,1122,1728.4,1271,3.2,98.2,99.4
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-01,14,26.9,413.3,78.3,3.4,-76.6,1099,1874.1,1246,2.1,97.0,98.0
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-01,18,34.7,380.3,73.4,3.2,-77.2,1169,2540.9,1403,3.4,97.8,97.5
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-01,20,29.0,382.3,82.3,3.1,-81.0,1794,3473.1,2327,2.8,98.6,99.5
TWR_SBH_001,4G Tower Kota Kinabalu,Sabah,4G,2024-11-01,22,28.1,444.0,77.4,2.3,-78.7,725,1619.2,812,1.6,99.0,99.6
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-01,8,22.7,414.0,87.1,1.9,-75.6,850,1649.6,1024,2.3,96.2,99.4
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-01,12,27.8,447.2,64.0,4.0,-79.9,1372,3146.7,1704,3.6,96.1,98.3
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-01,14,22.5,420.5,82.4,2.6,-82.6,878,1671.2,973,2.9,98.3,99.4
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-01,18,35.7,455.9,78.5,3.2,-79.8,1510,3478.5,1935,2.9,97.9,97.8
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-01,20,26.0,411.6,69.4,4.4,-80.2,1420,2855.5,1682,4.0,99.1,98.6
TWR_SBH_002,4G Tower Sandakan,Sabah,4G,2024-11-01,22,29.9,435.1,83.6,2.9,-77.3,1135,2298.2,1325,3.0,98.8,99.4
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-01,8,23.7,469.4,76.1,2.0,-78.3,717,1424.1,896,1.4,98.0,97.2
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-01,12,29.7,437.2,75.0,3.2,-77.1,1685,4013.7,2049,2.7,98.3,97.5
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-01,14,27.1,444.6,80.3,2.9,-79.9,1028,1859.0,1174,2.6,95.3,98.6
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-01,18,29.1,419.3,74.6,4.9,-78.1,1463,2658.1,1796,3.8,95.2,98.8
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-01,20,31.9,355.2,81.1,5.1,-79.5,1303,1982.3,1596,2.4,99.4,98.8
TWR_SWK_001,4G Tower Kuching,Sarawak,4G,2024-11-01,22,26.6,458.5,72.8,2.9,-76.3,982,2187.9,1189,2.5,98.0,99.5
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-01,8,28.8,420.0,83.1,2.5,-80.0,816,1626.2,1013,1.8,95.5,99.0
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-01,12,33.3,435.1,78.2,2.5,-75.2,1183,2411.5,1512,2.1,96.5,98.0
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-01,14,26.0,458.6,86.7,3.6,-80.2,783,1490.6,899,3.0,95.8,99.8
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-01,18,30.4,432.5,74.9,2.8,-79.2,1209,2343.5,1382,3.3,96.8,98.8
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-01,20,27.6,415.0,75.0,2.7,-79.4,1347,3174.7,1681,2.3,97.3,99.3
TWR_SWK_002,4G Tower Miri,Sarawak,4G,2024-11-01,22,28.0,412.5,76.4,2.7,-79.9,970,1718.7,1127,2.6,98.6,99.2
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-01,8,31.9,473.3,77.4,2.6,-81.9,834,1708.9,923,2.2,99.2,99.5
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-01,12,32.2,432.7,77.1,2.6,-78.4,1491,3083.6,1822,2.6,97.4,98.5
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-01,14,27.9,424.1,78.5,2.4,-81.2,1074,2116.6,1231,2.0,99.0,97.8
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-01,18,28.9,430.9,70.1,4.0,-78.1,1516,3773.9,1880,4.2,95.8,97.8
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-01,20,31.3,407.2,74.7,4.0,-79.7,1111,1977.1,1403,3.3,96.8,99.9
TWR_MLK_001,4G Tower Melaka Central,Melaka,4G,2024-11-01,22,31.5,382.8,86.2,3.2,-80.0,1124,2672.1,1351,1.6,96.2,97.5
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-01,8,28.3,480.8,88.1,2.7,-79.9,1143,2660.2,1418,2.3,99.1,98.4
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-01,12,25.7,400.9,73.1,3.4,-80.5,1355,2215.0,1617,2.2,98.6,97.1
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-01,14,27.3,487.1,75.3,1.8,-79.8,778,1452.6,972,1.7,95.6,98.3
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-01,18,30.4,432.6,75.2,4.1,-77.9,1017,1673.7,1132,4.2,98.5,98.4
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-01,20,31.3,445.8,73.5,2.5,-78.9,1452,3043.5,1788,2.1,95.5,97.1
TWR_IPH_001,4G Tower Ipoh,Perak,4G,2024-11-01,22,21.5,430.2,77.6,3.5,-80.1,923,1472.8,1056,1.8,95.0,97.7
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-01,8,24.8,469.2,85.3,2.4,-76.9,1182,2858.7,1504,2.1,97.0,98.6
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-01,12,32.2,417.0,68.2,2.6,-75.7,1371,3287.4,1641,2.3,98.1,98.8
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-01,14,27.4,495.4,77.5,1.8,-81.3,826,1502.1,1053,2.6,96.7,98.9
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-01,18,27.9,464.9,71.0,3.3,-80.4,1235,2284.4,1456,2.2,98.6,97.1
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-01,20,31.1,418.8,81.6,2.5,-80.2,1189,2748.3,1509,2.6,97.6,97.3
TWR_IPH_002,4G Tower Taiping,Perak,4G,2024-11-01,22,27.2,486.3,87.4,1.9,-77.7,1076,2364.6,1193,1.7,99.5,99.0
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-02,8,14.3,945.3,121.6,0.9,-72.4,3296,7340.0,3948,0.7,99.0,99.5
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-02,12,16.8,867.3,130.8,1.2,-70.7,3255,5367.1,3835,0.7,97.5,97.3
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-02,14,14.2,851.7,127.6,0.8,-72.8,2980,5448.7,3816,0.8,95.5,97.7
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-02,18,18.5,810.1,123.0,0.5,-67.1,3249,5733.1,3632,1.4,95.8,97.8
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-02,20,19.8,820.6,123.9,0.7,-72.4,4364,8149.7,5409,1.4,97.6,98.7
TWR_KL_001,5G Tower KLCC,Kuala Lumpur,5G,2024-11-02,22,15.2,904.1,145.1,0.7,-72.1,2144,4529.0,2569,0.9,97.3,98.4
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-02,8,18.1,798.9,138.7,0.5,-69.4,2921,7120.5,3489,0.7,99.3,99.2
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-02,12,15.9,728.0,130.0,1.1,-69.6,5512,9235.2,6601,1.1,98.5,99.6
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-02,14,19.3,887.7,127.9,0.7,-73.7,2576,5312.2,3297,0.8,97.5,99.0
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-02,18,18.2,856.2,121.8,0.6,-75.4,5466,13013.7,6914,1.0,97.8,98.1
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-02,20,18.8,781.7,127.8,0.8,-74.9,4831,12057.4,5445,1.5,99.0,97.5
TWR_KL_002,5G Tower Bukit Bintang,Kuala Lumpur,5G,2024-11-02,22,16.4,834.5,127.6,0.5,-72.0,2552,4012.8,3182,1.1,97.7,98.7
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-02,8,14.5,832.1,124.3,0.5,-74.2,1917,4532.3,2137,0.8,95.0,99.5
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-02,12,17.1,801.3,112.9,1.7,-74.2,5900,10007.5,7619,1.5,96.1,97.5
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-02,14,14.9,939.9,141.5,1.0,-71.2,3693,9061.5,4121,1.4,97.1,98.7
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-02,18,13.5,771.4,121.2,1.5,-69.3,4699,8377.9,6088,1.5,96.8,97.4
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-02,20,16.1,743.2,134.1,0.7,-75.7,4121,8728.4,4936,1.3,98.7,98.4
TWR_KL_003,5G Tower Mont Kiara,Kuala Lumpur,5G,2024-11-02,22,13.4,859.7,142.4,0.8,-71.4,3570,8530.5,4485,0.5,97.6,98.8
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-02,8,16.6,893.8,124.6,0.7,-71.6,1881,2941.2,2253,0.9,98.9,97.8
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-02,12,16.5,783.7,119.9,1.1,-73.0,5477,11763.1,6702,1.4,99.1,97.8
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-02,14,18.0,839.1,132.8,0.3,-70.4,3217,5420.3,3854,1.0,95.6,98.6
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-02,18,18.1,767.3,113.3,0.4,-72.9,4155,6535.3,5358,1.3,96.7,97.3
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-02,20,16.9,770.6,114.1,0.9,-75.8,5618,12716.9,6322,0.7,98.9,99.9
TWR_KL_004,5G Tower Cheras,Kuala Lumpur,5G,2024-11-02,22,12.9,894.7,128.3,1.2,-68.1,3124,7114.8,3753,0.7,98.7,98.8
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-02,8,22.3,456.8,76.6,3.3,-76.0,985,1545.3,1244,2.3,98.4,99.4
TWR_KL_005,4G Tower Ampang,Kuala Lumpur,4G,2024-11-02,12,30.4,416.1,69.2,2.9,-78.0,1315,1991.4,1548,2.6,95.1,98.1
